 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
370,80,0,449.3,247.713,0,6.415,1.057,1.426,2.067,3.21,0.169
372,81,0,61.245,254.778,0,4.739,0.96,1.244,1.74,2.626,0.079
375,82,0,465.655,257.605,0,6.853,1.08,1.484,2.193,3.471,0.075
378,83,0,55.763,259.28,0,4.84,0.982,1.294,1.841,2.825,0.109
389,84,0,347.678,259.666,0,6.698,1.087,1.508,2.253,3.609,0.108
392,85,0,449.744,264.169,0,4.925,0.997,1.305,1.831,2.757,0.116
394,86,0,132.269,266.658,0,6.467,1.049,1.409,2.032,3.141,0.176
397,87,0,360.561,266.658,0,6.492,1.084,1.466,2.118,3.266,0.17
399,88,0,280.826,269.678,0,4.648,0.966,1.24,1.705,2.52,0.046
403,89,0,440.802,271.238,0,4.777,0.971,1.263,1.767,2.666,0.094
409,90,0,23.322,280.664,0,6.507,1.054,1.42,2.052,3.178,0.173
415,91,0,116.259,281.245,0,5.271,0.989,1.288,1.798,2.693,0.065
419,92,0,447.705,283.729,0,5.142,0.983,1.283,1.801,2.719,0.097
422,93,0,341.37,285.68,0,6.496,1.094,1.503,2.212,3.481,0.148
432,94,0,24.651,287.115,0,3.521,0.965,1.221,1.641,2.356,0.021
439,95,0,59.143,288.239,0,3.407,1.007,1.346,1.944,3.024,0.01
443,96,0,36.78,294.773,0,4.638,0.971,1.248,1.717,2.534,0.044
448,97,0,317.336,294.751,0,6.14,1.054,1.429,2.085,3.264,0.046
450,98,0,434.725,295.269,0,5.447,0.992,1.288,1.79,2.665,0.043
457,99,0,305.657,300.667,0,6.874,1.11,1.541,2.298,3.662,0.077
460,100,0,414.361,304.681,0,6.674,1.104,1.532,2.284,3.643,0.107
464,101,0,60.646,307.328,0,6.369,1.02,1.346,1.903,2.885,0.115
466,102,0,507.793,312.917,0,4.893,1.027,1.394,2.046,3.232,0.069
470,103,0,216.685,320.274,0,5.663,1.006,1.324,1.868,2.828,0.042
475,104,0,394.325,322.285,0,6.402,1.054,1.421,2.054,3.178,0.165
482,105,0,193.368,325.34,0,6.54,1.047,1.399,2.005,3.075,0.155
484,106,0,487.312,326.759,0,4.987,0.973,1.25,1.719,2.537,0.107
490,107,0,26.783,328.772,0,4.351,1.02,1.404,2.102,3.402,0.006
493,108,0,25.271,332.387,0,5.684,1.088,1.505,2.241,3.572,0.019
496,109,0,402.299,333.298,0,5.143,0.996,1.312,1.859,2.833,0.097
499,110,0,214.287,342.649,0,6.502,1.059,1.441,2.112,3.321,0.175
506,111,0,426.154,342.319,0,5.141,1.03,1.38,1.989,3.083,0.075
512,112,0,236.298,343.675,0,5.465,0.987,1.274,1.759,2.603,0.039
520,113,0,369.232,343.832,0,3.745,0.974,1.257,1.737,2.578,0.024
525,114,0,432.807,343.722,0,5.111,0.991,1.299,1.83,2.772,0.103
527,115,0,242.292,352.671,0,5.254,0.999,1.316,1.862,2.831,0.07
541,116,0,82.651,354.636,0,6.597,1.098,1.516,2.247,3.563,0.128
544,117,0,59.728,360.741,0,4.981,0.998,1.308,1.84,2.778,0.114
552,118,0,109.296,361.292,0,6.228,1.042,1.402,2.025,3.137,0.076
554,119,0,267.183,363.808,0,4.863,0.979,1.281,1.808,2.751,0.114
559,120,0,249.648,364.368,0,6.426,1.02,1.358,1.943,2.983,0.142
565,121,0,377.287,364.318,0,6.504,1.036,1.388,1.999,3.088,0.161
567,122,0,214.294,369.315,0,6.56,1.066,1.458,2.15,3.401,0.157
570,123,0,36.256,370.803,0,5.112,1,1.316,1.864,2.839,0.102
580,124,0,473.705,371.704,0,6.541,1.024,1.363,1.944,2.973,0.13
594,125,0,42.27,373.406,0,4.967,1.003,1.303,1.809,2.689,0.115
599,126,0,132.62,374.314,0,6.448,1.055,1.435,2.103,3.306,0.177
605,127,0,488.235,376.717,0,5.465,1.006,1.32,1.857,2.803,0.042
609,128,0,401.294,377.359,0,6.259,1.029,1.37,1.955,2.992,0.081
613,129,0,8.291,381.258,0,5.909,1.026,1.366,1.956,3.006,0.033
620,130,0,217.371,382.68,0,6.484,1.049,1.423,2.077,3.251,0.178
623,131,0,487.754,382.19,0,3.68,0.987,1.266,1.731,2.528,0.026
642,132,0,498.28,382.729,0,4.681,0.966,1.233,1.678,2.445,0.057
648,133,0,177.599,383.322,0,6.599,1.093,1.494,2.187,3.419,0.136
650,134,0,226.654,383.355,0,6.567,1.1,1.527,2.279,3.639,0.126
656,135,0,353.759,384.383,0,6.166,1.057,1.434,2.092,3.274,0.054
659,136,0,432.636,387.29,0,6.489,1.053,1.417,2.045,3.16,0.176
663,137,0,63.732,398.704,0,5.164,0.982,1.267,1.749,2.586,0.089
665,138,0,33.266,399.638,0,6.374,1.049,1.408,2.029,3.13,0.151
676,139,0,173.184,402.258,0,4.783,0.984,1.293,1.834,2.807,0.094
678,140,0,491.741,405.69,0,5.16,0.954,1.22,1.673,2.468,0.072
685,141,0,151.329,410.615,0,6.709,1.063,1.438,2.088,3.248,0.092
695,142,0,45.704,414.713,0,6.47,1.061,1.43,2.066,3.195,0.179
697,143,0,421.353,416.358,0,3.693,0.931,1.151,1.509,2.107,0.023
712,144,0,163.23,417.266,0,5.212,1.024,1.366,1.964,3.037,0.068
715,145,0,293.357,417.406,0,6.779,1.091,1.516,2.266,3.626,0.095
720,146,0,332.646,421.328,0,6.306,1.058,1.43,2.073,3.218,0.114
730,147,0,440.339,421.24,0,3.774,0.966,1.209,1.602,2.256,0.023
733,148,0,389.149,422.258,0,4.732,0.981,1.259,1.722,2.516,0.078
737,149,0,494.774,423.662,0,6.287,1.036,1.384,1.984,3.05,0.098
740,150,0,254.249,428.815,0,4.866,0.982,1.285,1.809,2.742,0.114
748,151,0,49.684,431.726,0,6.346,1.05,1.418,2.06,3.211,0.137
750,152,0,301.645,435.367,0,6.193,1.044,1.392,1.991,3.05,0.062
752,153,0,219.758,447.18,0,5.065,0.996,1.313,1.862,2.841,0.107
759,154,0,178.759,452.717,0,4.765,0.962,1.217,1.637,2.349,0.081
765,155,0,208.735,461.75,0,5.166,1.003,1.312,1.841,2.77,0.093
776,156,0,61.748,465.663,0,5.937,1,1.314,1.855,2.815,0.027
778,157,0,393.207,465.675,0,3.483,0.954,1.194,1.582,2.23,0.018
781,158,0,213.822,472.712,0,4.836,0.985,1.303,1.86,2.863,0.107
785,159,0,426.261,472.216,0,5.395,1.018,1.371,1.997,3.137,0.04
