 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
4462,1072,26,312.149,404.499,0,5.911,1.044,1.396,2.001,3.075,0.059
4468,1073,26,440.552,381.772,0,4.114,0.962,1.221,1.65,2.385,0.038
4493,1080,26,400.624,444.411,0,6.891,1.113,1.558,2.348,3.784,0.083
4506,1084,26,240.069,50.243,0,4.072,0.991,1.307,1.854,2.832,0.034
4559,1098,26,113.768,234.824,0,5.114,1.016,1.342,1.903,2.899,0.066
4568,1101,26,37.254,256.696,0,6.584,1.123,1.587,2.417,3.937,0.078
4574,1103,26,262.043,316.195,0,4.294,1.01,1.346,1.936,2.999,0.025
4586,1106,26,487.33,347.555,0,6.534,1.04,1.396,2.014,3.118,0.109
4595,1108,26,124.438,380.819,0,6.935,1.14,1.623,2.487,4.073,0.056
4599,1109,26,193.771,362.62,0,5.232,1.011,1.321,1.845,2.758,0.071
4616,1112,26,347.451,437.253,0,6.629,1.054,1.417,2.043,3.155,0.109
4622,1114,26,293.648,444.778,0,6.575,1.068,1.436,2.066,3.173,0.122
4627,1115,26,186.258,467.692,0,6.488,1.07,1.469,2.171,3.439,0.121
4636,1118,26,119.501,465.356,0,6.564,1.055,1.427,2.074,3.23,0.12
4645,1121,26,41.078,27.632,0,5.192,0.997,1.308,1.845,2.797,0.071
4683,1131,26,325.725,175.6,0,6.409,1.043,1.4,2.017,3.116,0.106
4687,1132,26,422.264,180.734,0,6.504,1.071,1.461,2.144,3.372,0.124
4691,1133,26,186.308,195.181,0,5.498,1.003,1.326,1.887,2.886,0.043
4713,1139,26,350.65,257.913,0,4.063,0.958,1.231,1.697,2.517,0.04
4759,1151,26,422.476,399.925,0,3.802,0.989,1.29,1.811,2.738,0.024
4792,1156,26,460.787,420.253,0,6.705,1.129,1.581,2.378,3.823,0.1
4824,1165,26,278.553,497.345,0,4.875,1.043,1.436,2.144,3.448,0.04
4827,1166,26,37.301,18.506,0,6.375,1.036,1.378,1.967,3.005,0.096
4840,1169,26,463.209,64.395,0,6.417,1.072,1.461,2.139,3.354,0.109
4843,1170,26,147.45,101.135,0,6.009,1.057,1.433,2.091,3.274,0.062
4846,1171,26,63.739,131.293,0,5.01,0.975,1.266,1.768,2.655,0.065
4857,1176,26,257.176,172.265,0,5.014,0.983,1.29,1.824,2.781,0.068
4865,1177,26,183.741,178.713,0,5.196,1.004,1.311,1.834,2.749,0.071
4894,1184,26,482.578,266.067,0,4.065,0.988,1.277,1.768,2.626,0.038
4899,1185,26,223.331,276.608,0,6.456,1.043,1.408,2.044,3.187,0.113
4904,1186,26,360.296,308.18,0,5.031,1.008,1.335,1.902,2.909,0.067
4919,1190,26,88.208,323.758,0,5.489,1.02,1.36,1.953,3.012,0.043
4930,1193,26,347.181,388.698,0,5.957,1.049,1.42,2.071,3.244,0.062
4933,1194,26,220.906,391.593,0,5.708,1.031,1.395,2.037,3.2,0.039
4937,1195,26,457.411,382.214,0,4.783,1.009,1.328,1.874,2.838,0.047
4949,1197,26,449.374,412.082,0,4.549,1.044,1.437,2.14,3.432,0.012
4952,1198,26,87.52,417.883,0,5.959,1.035,1.389,2.004,3.104,0.063
4963,1202,26,274.88,496.342,0,5.63,1.127,1.606,2.467,4.057,0.007
4974,1206,26,226.353,61.399,0,6.776,1.104,1.543,2.321,3.736,0.115
4992,1210,26,226.636,100.074,0,4.203,0.975,1.246,1.699,2.479,0.031
5022,1221,26,212.408,304.782,0,4.972,0.975,1.236,1.662,2.379,0.054
5029,1223,26,359.25,377.671,0,5.105,1.029,1.388,2.022,3.168,0.054
5042,1226,26,402.432,404.569,0,6.818,1.117,1.564,2.355,3.79,0.102
5064,1231,26,228.656,475.458,0,6.436,1.073,1.462,2.141,3.354,0.113
5073,1235,26,343.754,15.814,0,6.007,1.063,1.458,2.158,3.43,0.057
5076,1236,26,394.155,26.624,0,6.211,1.083,1.505,2.255,3.623,0.055
5078,1237,26,251.673,60.814,0,5.307,1.006,1.336,1.913,2.946,0.067
5083,1239,26,233.817,86.42,0,6.652,1.099,1.522,2.266,3.608,0.121
5094,1241,26,58.571,103.375,0,6.788,1.052,1.433,2.106,3.325,0.088
5096,1242,26,89.75,114.261,0,6.506,1.098,1.506,2.212,3.469,0.111
5098,1243,26,359.594,145.608,0,6.791,1.129,1.591,2.41,3.901,0.096
5100,1244,26,43.305,131.513,0,5.651,1.003,1.329,1.896,2.914,0.041
5103,1245,26,298.468,142.184,0,6.051,1.046,1.415,2.059,3.218,0.064
5107,1247,26,474.514,151.649,0,5.047,0.979,1.268,1.762,2.627,0.066
5110,1248,26,32.629,170.461,0,6.665,1.066,1.45,2.118,3.313,0.119
5114,1249,26,242.704,166.792,0,5.239,0.975,1.255,1.729,2.554,0.063
5120,1250,26,122.695,199.523,0,6.551,1.064,1.442,2.099,3.272,0.124
5122,1251,26,296.746,189.491,0,6.864,1.132,1.578,2.359,3.762,0.088
5126,1252,26,314.555,200.393,0,6.765,1.071,1.468,2.164,3.418,0.111
5132,1254,26,312.036,207.554,0,3.821,0.971,1.248,1.715,2.53,0.028
5139,1255,26,117.82,203.429,0,5.859,1.013,1.34,1.904,2.907,0.046
5141,1256,26,424.258,239.43,0,6.336,1.06,1.453,2.148,3.411,0.095
5147,1258,26,310.508,245.252,0,6.869,1.134,1.593,2.404,3.871,0.082
5150,1259,26,5.341,262.833,0,5.565,1.04,1.385,1.976,3.017,0.039
5152,1260,26,203.556,288.973,0,4.035,0.964,1.241,1.714,2.546,0.039
5154,1261,26,235.417,302.745,0,6.191,1.03,1.389,2.018,3.152,0.074
5157,1262,26,67.409,321.494,0,7.037,1.11,1.551,2.329,3.742,0.035
5162,1263,26,474.21,314.72,0,6.634,1.133,1.598,2.424,3.925,0.08
5177,1264,26,473.592,327.866,0,5.626,1.013,1.336,1.891,2.87,0.042
5179,1265,26,332.898,323.522,0,5.816,1.053,1.433,2.103,3.313,0.043
5181,1266,26,279.525,338.93,0,5.85,1.022,1.366,1.966,3.042,0.049
5183,1267,26,407.673,345.294,0,5.309,0.958,1.216,1.646,2.385,0.046
5186,1268,26,28.957,369.587,0,4.417,0.977,1.264,1.752,2.61,0.03
5188,1269,26,15.748,371.706,0,5.424,0.99,1.298,1.83,2.774,0.048
5191,1270,26,460.111,379.532,0,2.992,0.914,1.111,1.414,1.889,0.005
5196,1272,26,180.541,395.086,0,5.781,1.035,1.392,2.015,3.132,0.043
5199,1273,26,60.791,468.181,0,4.801,0.997,1.325,1.9,2.935,0.05
5201,1274,26,19.213,468.86,0,5.435,1.044,1.394,1.997,3.067,0.043
5204,1275,26,235.388,459.704,0,6.609,1.069,1.457,2.135,3.349,0.125
5213,1276,26,458.037,486.574,0,3.812,0.97,1.246,1.705,2.494,0.028
5216,1277,26,166.624,498.164,0,4.964,0.988,1.292,1.815,2.742,0.065
5220,1278,26,66.468,508.431,0,6.39,1.036,1.384,1.983,3.046,0.099
5228,1281,26,252.292,44.793,0,4.703,0.978,1.26,1.737,2.569,0.044
5246,1287,26,343.348,111.091,0,5.271,1.004,1.332,1.902,2.925,0.07
5253,1288,26,220.669,111.333,0,6.502,1.069,1.473,2.189,3.492,0.121
5277,1292,26,10.43,164.619,0,6.893,1.116,1.558,2.336,3.744,0.082
5286,1294,26,486.598,174.236,0,6.909,1.105,1.545,2.328,3.756,0.076
5297,1297,26,172.883,205.255,0,5.077,1.016,1.342,1.902,2.893,0.066
5303,1299,26,178.337,230.668,0,5.556,1.009,1.334,1.895,2.892,0.042
5345,1311,26,37.272,355.724,0,5.838,1.075,1.474,2.174,3.435,0.038
5348,1312,26,326.47,370.367,0,6.562,1.043,1.405,2.037,3.171,0.111
5398,1322,26,12.386,455.486,0,6.728,1.091,1.503,2.225,3.525,0.124
5403,1323,26,134.228,452.648,0,5.419,1.009,1.334,1.899,2.906,0.051
5408,1324,26,278.784,483.07,0,5.268,1.06,1.455,2.155,3.43,0.035
5414,1327,26,158.218,6.79,0,5.267,1.012,1.35,1.943,3.01,0.068
5417,1328,26,105.27,34.203,0,6.617,1.1,1.529,2.288,3.664,0.115
5419,1329,26,23.547,43.632,0,5.685,0.991,1.274,1.745,2.551,0.032
5422,1330,26,54.505,66.8,0,6.606,1.118,1.562,2.346,3.766,0.097
5424,1331,26,150.487,73.492,0,7.137,1.116,1.557,2.336,3.743,0.017
5430,1332,26,474.49,77.213,0,6.739,1.115,1.57,2.378,3.855,0.108
5433,1333,26,179.676,85.629,0,6.584,1.078,1.477,2.179,3.445,0.126
5435,1334,26,337.289,114.255,0,6.207,1.062,1.431,2.068,3.196,0.076
5445,1335,26,332.734,115.63,0,3.371,0.864,1.004,1.205,1.496,0.005
5451,1336,26,261.596,119.829,0,4.115,0.929,1.127,1.428,1.898,0.024
5453,1337,26,356.323,126.829,0,6.534,1.108,1.551,2.337,3.769,0.092
5457,1338,26,326.3,127.599,0,6.703,1.084,1.483,2.179,3.429,0.125
5460,1339,26,282.543,161.711,0,5.69,1.025,1.362,1.943,2.973,0.041
5462,1340,26,358.218,170.349,0,6.307,1.076,1.49,2.224,3.561,0.078
5467,1341,26,149.334,174.758,0,4.733,0.961,1.219,1.65,2.389,0.045
5469,1342,26,213.269,185.332,0,4.672,0.959,1.231,1.693,2.505,0.04
5473,1343,26,166.887,195.243,0,4.911,1.001,1.299,1.795,2.646,0.061
5475,1344,26,179.078,218.498,0,3.972,0.974,1.262,1.76,2.647,0.035
5478,1345,26,485.746,218.131,0,4.942,1.002,1.329,1.902,2.934,0.064
5480,1346,26,264.181,221.528,0,6.146,1.031,1.399,2.05,3.235,0.068
5482,1347,26,359.263,226.279,0,5.628,0.992,1.303,1.839,2.793,0.039
5485,1348,26,9.365,228.74,0,6.3,1.022,1.348,1.903,2.879,0.079
5490,1349,26,403.528,242.65,0,5.316,0.981,1.273,1.774,2.655,0.063
5492,1350,26,34.678,243.362,0,4.054,0.946,1.189,1.591,2.282,0.035
5496,1351,26,179.31,243.505,0,6.307,1.033,1.389,2.01,3.124,0.092
5498,1352,26,362.688,261.332,0,6.911,1.127,1.58,2.382,3.836,0.074
5503,1353,26,301.654,262.532,0,6.772,1.072,1.47,2.168,3.425,0.11
5511,1354,26,192.26,272.136,0,5.279,1.023,1.356,1.929,2.944,0.066
5513,1355,26,442.657,287.482,0,6.831,1.111,1.541,2.296,3.659,0.103
5518,1356,26,192.291,321.74,0,6.456,1.101,1.529,2.284,3.649,0.089
5520,1357,26,257.257,347.448,0,4.324,1.069,1.467,2.168,3.435,0.012
5522,1358,26,255.295,349.242,0,5.368,1.099,1.528,2.283,3.65,0.016
5528,1359,26,138.718,351.507,0,6.608,1.085,1.481,2.167,3.391,0.126
5532,1360,26,64.575,354.789,0,6.079,1.048,1.409,2.035,3.154,0.064
5535,1361,26,325.523,364.407,0,6.217,1.001,1.302,1.809,2.693,0.052
5537,1362,26,119.322,365.674,0,6.903,1.098,1.525,2.279,3.644,0.077
5539,1363,26,272.703,399.583,0,6.71,1.127,1.572,2.35,3.748,0.105
5541,1364,26,346.362,409.368,0,6.232,1.013,1.332,1.876,2.834,0.066
5544,1365,26,450.47,434.267,0,7.048,1.135,1.6,2.423,3.921,0.031
5553,1366,26,379.801,443.499,0,4.363,0.985,1.287,1.806,2.722,0.03
5555,1367,26,96.464,456.804,0,4.513,0.977,1.253,1.714,2.508,0.025
5573,1368,26,337.349,459.583,0,5.22,0.985,1.268,1.744,2.568,0.066
5576,1369,26,200.715,474.271,0,4.781,0.947,1.193,1.601,2.301,0.04
5578,1370,26,460.908,482.581,0,4.248,0.931,1.163,1.547,2.205,0.022
5581,1371,26,361.889,484.494,0,3.526,0.971,1.262,1.759,2.636,0.015
336,72,27,31.394,227.568,0,3.359,0.884,1.055,1.318,1.734,0.012
1704,377,27,324.908,11.205,0,5.119,1.03,1.398,2.048,3.226,0.051
2380,549,27,286.819,430.35,0,6.221,1.093,1.52,2.281,3.667,0.055
2711,634,27,20.263,441.471,0,6.51,1.085,1.489,2.195,3.461,0.089
2907,684,27,453.6,346.225,0,6.437,1.076,1.479,2.188,3.47,0.086
3032,714,27,292.25,174.313,0,6.78,1.088,1.495,2.204,3.475,0.114
3072,721,27,355.226,323.54,0,4.938,0.982,1.288,1.823,2.781,0.041
3187,751,27,365.698,156.329,0,6.401,1.035,1.396,2.027,3.161,0.086
3342,794,27,449.818,169.4,0,6.045,1.082,1.498,2.232,3.563,0.048
3410,810,27,198.209,306.742,0,6.656,1.133,1.589,2.39,3.837,0.085
3447,818,27,258.444,364.624,0,6.688,1.064,1.454,2.14,3.377,0.115
3570,848,27,302.606,231.341,0,6.803,1.097,1.514,2.243,3.556,0.108
3618,854,27,223.84,291.818,0,5.873,1.08,1.489,2.211,3.52,0.035
3672,868,27,334.669,378.559,0,6.36,1.045,1.428,2.109,3.352,0.091
3721,883,27,201.871,191.833,0,5.682,1.07,1.471,2.178,3.459,0.04
3765,895,27,57.335,337.722,0,6.688,1.086,1.498,2.222,3.532,0.124
3805,904,27,73.327,425.197,0,6.21,1.042,1.41,2.055,3.22,0.074
3901,932,27,24.406,368.929,0,4.246,0.973,1.266,1.772,2.672,0.046
4017,961,27,292.149,148.814,0,5.254,1.024,1.373,1.986,3.093,0.065
4030,962,27,371.448,132.128,0,6.075,1.029,1.371,1.961,3.009,0.062
4047,964,27,316.201,145.216,0,4.556,0.98,1.272,1.77,2.646,0.047
4069,970,27,193.456,236.464,0,6.326,1.027,1.377,1.991,3.094,0.082
4174,1001,27,451.38,53.632,0,6.592,1.053,1.415,2.04,3.15,0.091
4245,1018,27,269.627,174.71,0,6.515,1.063,1.442,2.1,3.275,0.092
4264,1021,27,439.51,244.341,0,6.478,1.068,1.465,2.163,3.429,0.09
4386,1056,27,113.25,212.338,0,6.81,1.089,1.507,2.244,3.579,0.106
4401,1061,27,257.486,262.855,0,3.874,0.94,1.204,1.662,2.477,0.04
4420,1065,27,471.473,344.906,0,5.769,1.04,1.406,2.05,3.211,0.044
4435,1068,27,490.752,363.364,0,6.562,1.078,1.468,2.146,3.357,0.1
4447,1069,27,28.279,342.48,0,6.335,1.062,1.441,2.1,3.282,0.09
4479,1075,27,344.357,438.622,0,6.855,1.098,1.536,2.315,3.738,0.089
4507,1084,27,237.45,49.719,0,6.705,1.094,1.497,2.196,3.442,0.125
4532,1091,27,56.372,119.284,0,6.609,1.054,1.414,2.03,3.119,0.092
4552,1096,27,163.197,225.507,0,5.584,0.99,1.284,1.781,2.647,0.044
4579,1104,27,366.142,335.482,0,5.903,1.04,1.397,2.016,3.123,0.052
4654,1124,27,8.9,37.312,0,5.243,1.054,1.457,2.179,3.506,0.046
4661,1126,27,302.667,126.672,0,6.092,1.019,1.374,1.999,3.135,0.062
4667,1127,27,28.53,125.649,0,5.817,0.961,1.214,1.628,2.326,0.021
4671,1128,27,136.758,113.187,0,6.279,1.087,1.497,2.219,3.522,0.072
4675,1129,27,410.479,169.65,0,6.57,1.073,1.469,2.162,3.409,0.101
4692,1133,27,178.625,193.758,0,5.324,0.996,1.31,1.853,2.821,0.063
4704,1136,27,423.385,217.209,0,6.373,1.07,1.461,2.148,3.384,0.089
4717,1140,27,131.798,263.675,0,5.921,1.024,1.348,1.898,2.859,0.052
4724,1142,27,189.701,303.893,0,5.699,1.046,1.423,2.088,3.295,0.045
4730,1143,27,2.458,286.28,0,3.81,0.941,1.187,1.597,2.304,0.034
4741,1147,27,327.328,348.464,0,6.428,1.049,1.423,2.08,3.265,0.09
4745,1148,27,271.936,353.143,0,5.469,1.061,1.459,2.164,3.447,0.042
4770,1153,27,339.397,396.676,0,6.782,1.087,1.506,2.246,3.588,0.114
4782,1154,27,173.712,409.427,0,5.939,0.999,1.313,1.853,2.807,0.048
4793,1156,27,462.819,424.44,0,6.54,1.105,1.526,2.261,3.581,0.085
4813,1162,27,201.211,490.226,0,4.794,0.974,1.271,1.788,2.709,0.038
4858,1176,27,258.215,162.743,0,5.397,1.008,1.322,1.856,2.795,0.065
4872,1178,27,32.375,186.435,0,6.792,1.089,1.524,2.304,3.735,0.111
4881,1179,27,124.183,189.165,0,5.435,1.017,1.348,1.919,2.934,0.067
4900,1185,27,215.616,278.565,0,3.97,0.919,1.126,1.458,2.004,0.026
4914,1189,27,93.584,338.666,0,5.533,0.971,1.251,1.727,2.562,0.04
4925,1192,27,465.504,368.453,0,6.064,1.005,1.329,1.889,2.888,0.054
4941,1196,27,330.434,410.54,0,6.318,1.021,1.349,1.913,2.913,0.071
4968,1204,27,171.754,15.26,0,5.136,0.991,1.304,1.847,2.817,0.059
4983,1208,27,131.648,89.306,0,6.686,1.087,1.491,2.196,3.46,0.124
4993,1210,27,231.433,98.822,0,5.393,1.07,1.465,2.161,3.42,0.042
5004,1214,27,164.78,170.264,0,5.184,0.99,1.308,1.866,2.867,0.063
5017,1220,27,426.813,290.905,0,4.267,1.009,1.336,1.899,2.9,0.039
5039,1225,27,342.256,373.869,0,5.711,1.084,1.505,2.252,3.615,0.033
5050,1227,27,236.321,418.63,0,5.792,1.006,1.329,1.89,2.892,0.041
5053,1228,27,263.743,412.663,0,6.363,1.09,1.502,2.224,3.526,0.077
5069,1233,27,182.237,495.342,0,4.969,0.996,1.309,1.852,2.816,0.043
5086,1240,27,210.714,98.389,0,3.913,0.962,1.208,1.608,2.28,0.038
5129,1253,27,394.332,211.538,0,3.85,0.929,1.166,1.562,2.247,0.038
5133,1254,27,315.293,216.411,0,6.683,1.075,1.47,2.16,3.399,0.12
5145,1257,27,125.397,245.79,0,5.205,0.986,1.271,1.752,2.588,0.056
5148,1258,27,306.736,247.33,0,6.505,1.075,1.473,2.17,3.426,0.091
5224,1279,27,333.375,13.192,0,6.094,1.05,1.403,2.007,3.071,0.064
5226,1280,27,6.281,29.716,0,5.289,0.999,1.312,1.849,2.799,0.063
5230,1282,27,323.716,49.419,0,6.667,1.082,1.498,2.237,3.581,0.122
5232,1283,27,210.416,91.283,0,6.955,1.133,1.591,2.399,3.86,0.046
5234,1284,27,330.174,101.852,0,5.169,1.04,1.419,2.089,3.307,0.053
5238,1285,27,274.575,103.354,0,3.798,0.895,1.074,1.355,1.805,0.02
5241,1286,27,263.149,103.76,0,4.579,0.998,1.309,1.843,2.787,0.045
5247,1287,27,343.547,103.726,0,4.583,0.941,1.169,1.538,2.154,0.029
5261,1289,27,79.382,134.894,0,4.737,0.963,1.227,1.67,2.437,0.032
5264,1290,27,245.344,128.92,0,3.941,0.982,1.272,1.767,2.636,0.029
5267,1291,27,458.675,150.063,0,4.229,0.993,1.296,1.811,2.714,0.042
5283,1293,27,51.276,187.611,0,5.592,1.009,1.33,1.881,2.857,0.051
5291,1295,27,272.524,207.925,0,5.658,1.043,1.419,2.082,3.284,0.047
5294,1296,27,336.459,187.503,0,6.273,1.033,1.39,2.014,3.138,0.08
5298,1297,27,166.839,207.917,0,3.916,0.973,1.274,1.797,2.729,0.031
5301,1298,27,401.479,217.125,0,5.983,1.053,1.424,2.071,3.229,0.058
5308,1300,27,4.837,244.325,0,5.986,1.059,1.45,2.144,3.404,0.054
5310,1301,27,417.242,251.214,0,5.198,1.009,1.337,1.908,2.93,0.066
5314,1302,27,492.471,253.301,0,3.908,0.914,1.112,1.425,1.934,0.03
5316,1303,27,32.455,272.195,0,6.639,1.129,1.597,2.429,3.946,0.076
5320,1304,27,351.868,273.902,0,4.365,1.024,1.371,1.975,3.053,0.034
5323,1305,27,176.915,277.286,0,5.159,0.999,1.313,1.849,2.792,0.062
5327,1306,27,268.509,284.479,0,7.074,1.126,1.588,2.412,3.917,0.02
5329,1307,27,489.181,331.756,0,5.123,0.99,1.304,1.85,2.826,0.058
5336,1308,27,254.37,329.411,0,6.647,1.079,1.486,2.204,3.504,0.119
5341,1309,27,460.329,325.649,0,6.921,1.068,1.45,2.114,3.298,0.045
5343,1310,27,392.036,342.639,0,4.84,1.003,1.323,1.872,2.843,0.043
5346,1311,27,38.786,357.1,0,4.906,1.024,1.385,2.028,3.2,0.039
5351,1313,27,450.523,392.864,0,4.195,0.931,1.15,1.505,2.097,0.032
5354,1314,27,435.459,409.78,0,3.254,0.955,1.22,1.67,2.454,0.009
5364,1315,27,109.255,385.541,0,6.769,1.133,1.6,2.431,3.947,0.086
5366,1316,27,392.964,434.399,0,4.428,0.991,1.304,1.848,2.821,0.043
5370,1317,27,360.768,445.657,0,6.295,1.087,1.491,2.196,3.462,0.076
5373,1318,27,7.686,424.547,0,4.133,0.971,1.249,1.725,2.561,0.033
5386,1319,27,314.5,420.406,0,6.235,1.022,1.362,1.952,3.002,0.068
5388,1320,27,168.816,419.862,0,5.682,1.064,1.454,2.14,3.378,0.043
5391,1321,27,337.833,447.404,0,6.175,1.069,1.455,2.13,3.342,0.066
5399,1322,27,9.441,456.426,0,5.997,1,1.318,1.87,2.852,0.051
5409,1324,27,274.496,480.325,0,6.813,1.108,1.537,2.288,3.642,0.104
5411,1325,27,476.762,484.548,0,4.55,0.96,1.214,1.634,2.351,0.04
5413,1326,27,293.904,501.35,0,5.534,1.023,1.369,1.972,3.051,0.057
5418,1328,27,103.317,39.218,0,5.073,0.97,1.229,1.654,2.373,0.037
5436,1334,27,339.721,119.353,0,6.499,1.062,1.437,2.09,3.256,0.091
5458,1338,27,325.617,125.475,0,6.71,1.094,1.511,2.245,3.571,0.124
5497,1351,27,181.497,241.471,0,6.447,1.008,1.337,1.909,2.931,0.06
5538,1362,27,115.443,368.771,0,6.361,1.039,1.398,2.025,3.149,0.088
5545,1365,27,454.536,425.58,0,6.067,0.975,1.247,1.702,2.485,0.031
5585,1372,27,24.711,8.456,0,6.361,1,1.318,1.869,2.849,0.058
5589,1373,27,26.487,21.132,0,5.466,1.021,1.356,1.934,2.959,0.065
5591,1374,27,331.556,26.275,0,6.485,1.026,1.369,1.961,3.016,0.071
5596,1375,27,383.214,38.389,0,6.293,1.052,1.427,2.087,3.275,0.087
5598,1376,27,111.454,48.655,0,6.716,1.072,1.463,2.146,3.373,0.117
5600,1377,27,62.693,53.473,0,6.915,1.127,1.575,2.364,3.787,0.061
5603,1378,27,452.751,68.273,0,5.013,0.983,1.276,1.775,2.654,0.041
5606,1379,27,257.788,75.666,0,5.381,1.018,1.37,1.99,3.113,0.067
5608,1380,27,166.752,76.174,0,5.16,1.143,1.654,2.581,4.304,0.009
5611,1381,27,13.217,114.153,0,4.62,0.998,1.327,1.904,2.94,0.041
5614,1382,27,104.328,121.483,0,7.064,1.102,1.538,2.31,3.716,0.021
5617,1383,27,96.884,165.453,0,5.901,1.015,1.345,1.917,2.934,0.05
5621,1384,27,272.099,166.176,0,4.857,1.018,1.363,1.968,3.057,0.042
5627,1385,27,370.599,170.837,0,4.302,0.964,1.231,1.676,2.444,0.045
5629,1386,27,92.069,176.298,0,5.208,1.041,1.417,2.082,3.291,0.056
5633,1387,27,470.634,176.534,0,6.689,1.096,1.519,2.267,3.62,0.122
5635,1388,27,276.648,178.404,0,6.767,1.079,1.481,2.186,3.456,0.114
5641,1389,27,167.422,211.183,0,4.489,0.993,1.331,1.937,3.048,0.042
5645,1390,27,296.483,211.484,0,4.314,0.935,1.166,1.547,2.193,0.035
5647,1391,27,501.247,214.495,0,5.567,1.003,1.337,1.924,2.983,0.054
5650,1392,27,208.616,216.2,0,5.955,1.054,1.422,2.06,3.2,0.056
5658,1393,27,346.26,217.164,0,5.373,1.013,1.332,1.878,2.839,0.067
5661,1394,27,337.581,221.871,0,5.642,0.985,1.274,1.764,2.617,0.037
5663,1395,27,33.098,231.679,0,3.36,0.927,1.153,1.523,2.148,0.015
5667,1396,27,86.495,238.749,0,4.187,0.942,1.164,1.515,2.09,0.033
5669,1397,27,368.617,246.396,0,6.861,1.102,1.521,2.251,3.559,0.087
5672,1398,27,219.649,261.159,0,6.087,1.101,1.541,2.326,3.76,0.037
5675,1399,27,329.751,263.35,0,6.823,1.111,1.552,2.333,3.753,0.098
5679,1400,27,232.295,279.899,0,6.041,1.075,1.485,2.211,3.532,0.051
5681,1401,27,448.157,316.139,0,4.906,1.039,1.406,2.053,3.221,0.036
5685,1402,27,490.209,316.703,0,6.441,1.148,1.63,2.484,4.041,0.028
5688,1403,27,219.154,319.406,0,4.551,0.964,1.245,1.728,2.581,0.045
5690,1404,27,250.17,332.933,0,4.369,1.017,1.365,1.968,3.041,0.035
5693,1405,27,336.63,339.199,0,6.178,1.06,1.453,2.146,3.405,0.067
5700,1406,27,114.491,350.423,0,7.461,1.128,1.578,2.37,3.798,0.005
5707,1407,27,238.797,355.584,0,4.324,0.917,1.121,1.446,1.98,0.026
5711,1408,27,240.552,359.906,0,5.852,1.012,1.347,1.928,2.966,0.046
5713,1409,27,152.268,360.477,0,6.696,1.07,1.455,2.127,3.329,0.115
5718,1410,27,90.191,362.462,0,6.086,1.028,1.388,2.023,3.175,0.064
5722,1411,27,373.312,370.156,0,5.355,1.012,1.362,1.981,3.109,0.067
5733,1412,27,383.888,407.626,0,4.872,1.077,1.505,2.275,3.693,0.017
5735,1413,27,387.179,408.499,0,5.267,1.126,1.588,2.409,3.906,0.016
5739,1414,27,462.728,435.761,0,6.684,1.137,1.607,2.441,3.958,0.078
5742,1415,27,243.427,439.421,0,4.677,0.972,1.255,1.738,2.587,0.038
5746,1416,27,191.636,452.821,0,6.286,1.057,1.431,2.081,3.245,0.086
5749,1417,27,359.521,469,0,3.833,0.967,1.249,1.73,2.572,0.033
5752,1418,27,105.316,472.359,0,6.665,1.088,1.495,2.206,3.484,0.122
5755,1419,27,242.712,473.682,0,5.191,1.061,1.449,2.129,3.354,0.046
5757,1420,27,244.524,475.524,0,5.705,1.196,1.733,2.687,4.428,0.006
5759,1421,27,263.266,479.481,0,5.733,0.991,1.281,1.771,2.624,0.033
641,131,28,477.681,420.583,0,5.792,0.988,1.285,1.793,2.686,0.042
1649,364,28,450.169,408.885,0,3.914,1.027,1.375,1.981,3.066,0.015
1799,402,28,237.58,375.485,0,6.393,1.054,1.429,2.086,3.266,0.126
1930,435,28,165.427,228.313,0,5.707,0.953,1.187,1.564,2.188,0.028
2627,614,28,321.762,230.731,0,6.493,1.087,1.495,2.211,3.504,0.117
2837,665,28,430.774,231.361,0,6.362,1.08,1.486,2.2,3.49,0.117
2908,684,28,455.756,341.646,0,6.155,1.017,1.34,1.89,2.854,0.063
3033,714,28,290.283,169.723,0,6.314,1.09,1.5,2.22,3.516,0.105
3373,802,28,281.208,274.54,0,6.534,1.123,1.567,2.346,3.749,0.09
3480,827,28,176.849,433.777,0,5.965,1.102,1.535,2.303,3.702,0.028
3547,844,28,217.711,137.862,0,6.28,1.077,1.487,2.213,3.53,0.104
3619,854,28,228.486,287.919,0,4.12,0.974,1.255,1.731,2.562,0.031
3914,934,28,234.671,328.635,0,5.218,1.005,1.311,1.831,2.74,0.051
3952,942,28,397.627,416.393,0,6.655,1.066,1.457,2.143,3.379,0.12
3987,952,28,95.585,51.257,0,6.491,1.085,1.489,2.195,3.46,0.118
4018,961,28,300.286,148.3,0,4.956,0.985,1.294,1.831,2.794,0.077
4031,962,28,372.462,125.687,0,6.874,1.148,1.629,2.487,4.053,0.051
4108,980,28,144.354,253.653,0,6.271,1.047,1.403,2.017,3.106,0.11
4189,1004,28,205.548,83.275,0,4.033,0.948,1.185,1.575,2.237,0.026
4195,1005,28,31.168,96.854,0,5,1.005,1.336,1.912,2.942,0.074
4251,1019,28,450.688,179.686,0,6.304,1.034,1.378,1.971,3.023,0.108
4334,1041,28,234.553,434.475,0,5.782,0.973,1.256,1.736,2.577,0.04
4376,1054,28,503.549,166.898,0,4.089,0.95,1.207,1.64,2.395,0.03
4463,1072,28,306.648,406.421,0,6.246,1.031,1.37,1.953,2.986,0.095
4469,1073,28,434.703,394.562,0,3.832,0.919,1.128,1.464,2.02,0.019
